ensembl_gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	external_gene_name	description
ENSDARG00000113892	791.287743	-0.91642195	0.112196069	-8.16803974	3.13E-16	1.10E-13	tsc1a	TSC complex subunit 1a [Source:ZFIN;Acc:ZDB-GENE-030131-9111]
ENSDARG00000068947	87.55983063	-1.836705341	0.228125891	-8.051279626	8.19E-16	2.65E-13	si:ch211-264e16.1	si:ch211-264e16.1 [Source:ZFIN;Acc:ZDB-GENE-060503-226]
ENSDARG00000113714	347.391017	-2.106771966	0.265614426	-7.93169257	2.16E-15	6.67E-13	zgc:163098	zgc:163098 [Source:ZFIN;Acc:ZDB-GENE-070410-141]
ENSDARG00000041586	510.8164268	-0.88011272	0.111069819	-7.923959285	2.30E-15	7.02E-13	dhx40	DEAH (Asp-Glu-Ala-His) box polypeptide 40 [Source:ZFIN;Acc:ZDB-GENE-080507-1]
ENSDARG00000068036	422.2207537	-0.891897077	0.114373076	-7.798138404	6.28E-15	1.77E-12	tmem119b	transmembrane protein 119b [Source:ZFIN;Acc:ZDB-GENE-070410-49]
ENSDARG00000113695	35.19512935	-8.57427275	1.100957921	-7.788011316	6.81E-15	1.90E-12	atp6v0a2b	ATPase H+ transporting V0 subunit a2b [Source:ZFIN;Acc:ZDB-GENE-060526-4]
ENSDARG00000035562	419.9819109	-0.859821734	0.11172563	-7.695832485	1.41E-14	3.88E-12	mpdu1a	mannose-P-dolichol utilization defect 1a [Source:ZFIN;Acc:ZDB-GENE-040912-9]
ENSDARG00000113597	48.82067193	-6.666473283	0.877075153	-7.600800521	2.94E-14	7.80E-12	gps2	G protein pathway suppressor 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1176]
ENSDARG00000053476	269.1891939	-0.998988983	0.132943158	-7.514406873	5.72E-14	1.42E-11	lipca	"lipase, hepatic a [Source:ZFIN;Acc:ZDB-GENE-040426-1361]"
ENSDARG00000042533	1497.192681	-0.577902413	0.077038919	-7.501434603	6.31E-14	1.55E-11	gstm.1	"glutathione S-transferase mu, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030911-2]"
ENSDARG00000109827	271.2347522	-9.008082867	1.206334538	-7.467317382	8.18E-14	1.93E-11	tia1l	"cytotoxic granule-associated RNA binding protein 1, like [Source:ZFIN;Acc:ZDB-GENE-030131-2167]"
ENSDARG00000116204	1303.799569	-1.1569602	0.155869331	-7.4226289	1.15E-13	2.67E-11	syne1a	"spectrin repeat containing, nuclear envelope 1a [Source:ZFIN;Acc:ZDB-GENE-030131-4172]"
ENSDARG00000098390	2884.362889	-0.869459662	0.119168138	-7.296074885	2.96E-13	6.64E-11	si:ch211-76m11.8	si:ch211-76m11.8 [Source:ZFIN;Acc:ZDB-GENE-041210-280]
ENSDARG00000110336	286.1741685	-1.803885403	0.247411495	-7.291033103	3.08E-13	6.84E-11	gcnt4a	glucosaminyl (N-acetyl) transferase 4a [Source:NCBI gene;Acc:324510]
ENSDARG00000113727	154.7296242	-2.327454861	0.329522069	-7.063122877	1.63E-12	3.29E-10	tppp2	tubulin polymerization-promoting protein family member 2 [Source:ZFIN;Acc:ZDB-GENE-140106-24]
ENSDARG00000013082	342.0890152	-1.744395552	0.247304252	-7.053641555	1.74E-12	3.49E-10	uap1l1	"UDP-N-acetylglucosamine pyrophosphorylase 1, like 1 [Source:NCBI gene;Acc:393264]"
ENSDARG00000030311	65.30468582	-2.388174607	0.339688241	-7.030489477	2.06E-12	4.06E-10	tmc2b	transmembrane channel-like 2b [Source:NCBI gene;Acc:567304]
ENSDARG00000035329	7532.494997	-0.483657169	0.068998231	-7.009703894	2.39E-12	4.68E-10	capns1a	"calpain, small subunit 1 a [Source:ZFIN;Acc:ZDB-GENE-030113-3]"
ENSDARG00000111718	79.72601229	-1.915559261	0.275019384	-6.965179073	3.28E-12	6.24E-10	BX510918.1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 31 [Source:NCBI gene;Acc:325248]
ENSDARG00000116449	47.23482066	-5.161822589	0.751998287	-6.86414142	6.69E-12	1.21E-09	pnisr	PNN-interacting serine/arginine-rich protein [Source:ZFIN;Acc:ZDB-GENE-030131-362]
ENSDARG00000091298	13292.34729	-0.528336139	0.076964004	-6.864717407	6.66E-12	1.21E-09	pmela	premelanosome protein a [Source:ZFIN;Acc:ZDB-GENE-030131-9818]
ENSDARG00000020009	765.916023	-0.557413908	0.081227536	-6.862376196	6.77E-12	1.22E-09	bmp2k	BMP2 inducible kinase [Source:ZFIN;Acc:ZDB-GENE-041212-72]
ENSDARG00000115148	99.45722754	-7.257297657	1.078160502	-6.731184872	1.68E-11	2.89E-09	tp53	tumor protein p53 [Source:NCBI gene;Acc:30590]
ENSDARG00000100095	3090.958565	-1.1406393	0.169501364	-6.729381237	1.70E-11	2.90E-09	anxa1b	annexin A1b [Source:ZFIN;Acc:ZDB-GENE-030131-6554]
ENSDARG00000112054	218.615125	-2.127920396	0.317106701	-6.710423925	1.94E-11	3.26E-09	tomm70a	translocase of outer mitochondrial membrane 70 homolog A (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-030131-8173]
ENSDARG00000039374	1015.301065	-0.535432406	0.079846713	-6.705753923	2.00E-11	3.35E-09	apool	apolipoprotein O-like [Source:ZFIN;Acc:ZDB-GENE-050327-76]
ENSDARG00000109578	38.80178931	-23.15820234	3.456403918	-6.700085664	2.08E-11	3.46E-09	hnrnpdl	heterogeneous nuclear ribonucleoprotein D-like [Source:ZFIN;Acc:ZDB-GENE-040426-2717]
ENSDARG00000054619	945.8731453	-0.682912155	0.101983747	-6.696284211	2.14E-11	3.51E-09	fras1	Fraser extracellular matrix complex subunit 1 [Source:ZFIN;Acc:ZDB-GENE-060526-68]
ENSDARG00000116025	498.8741827	-0.806358846	0.122199736	-6.598695473	4.15E-11	6.40E-09	lamb1b	"laminin, beta 1b [Source:ZFIN;Acc:ZDB-GENE-041210-197]"
ENSDARG00000104654	618.9841129	-1.259002384	0.192073808	-6.554784329	5.57E-11	8.45E-09	leap2	liver-expressed antimicrobial peptide 2 [Source:ZFIN;Acc:ZDB-GENE-081022-131]
ENSDARG00000103811	4119.99418	-0.339614744	0.051834016	-6.551966694	5.68E-11	8.56E-09	agla	"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase a [Source:ZFIN;Acc:ZDB-GENE-071004-6]"
ENSDARG00000055192	69492.90085	-0.767214194	0.117538225	-6.527359052	6.69E-11	9.98E-09	zgc:136930	zgc:136930 [Source:ZFIN;Acc:ZDB-GENE-060312-16]
ENSDARG00000110169	2346.174019	-0.591347025	0.090845199	-6.509392144	7.55E-11	1.11E-08	fryb	furry homolog b (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-080215-5]
ENSDARG00000031952	3118.907654	-0.501622028	0.078728281	-6.371560773	1.87E-10	2.56E-08	mb	"Danio rerio myoglobin (mb), transcript variant 2, mRNA. [Source:RefSeq mRNA;Acc:NM_001362390]"
ENSDARG00000035264	264.2314753	-1.068789921	0.169616144	-6.30122754	2.95E-10	3.89E-08	riok2	RIO kinase 2 (yeast) [Source:ZFIN;Acc:ZDB-GENE-040426-2913]
ENSDARG00000086842	5276.364029	-0.364544948	0.057880347	-6.298250904	3.01E-10	3.93E-08	dap1b	death associated protein 1b [Source:ZFIN;Acc:ZDB-GENE-000511-4]
ENSDARG00000021140	5281.601234	-0.346387141	0.055133705	-6.282674781	3.33E-10	4.32E-08	pabpc1b	"poly A binding protein, cytoplasmic 1 b [Source:ZFIN;Acc:ZDB-GENE-050308-1]"
ENSDARG00000035309	904.1551761	-0.818711257	0.131707628	-6.216126352	5.10E-10	6.40E-08	entpd3	ectonucleoside triphosphate diphosphohydrolase 3 [Source:ZFIN;Acc:ZDB-GENE-030131-6186]
ENSDARG00000099175	11118.54004	-0.509846151	0.082166587	-6.205030152	5.47E-10	6.81E-08	hmgb1a	high mobility group box 1a [Source:ZFIN;Acc:ZDB-GENE-030131-341]
ENSDARG00000039099	1029.293672	-0.861483861	0.139105106	-6.193042679	5.90E-10	7.30E-08	aep1	aerolysin-like protein [Source:NCBI gene;Acc:503710]
ENSDARG00000036832	42502.71052	-0.407112107	0.066934958	-6.082204559	1.19E-09	1.42E-07	cyt1l	"type I cytokeratin, enveloping layer, like [Source:ZFIN;Acc:ZDB-GENE-061026-4]"
ENSDARG00000117186	58.90823401	-1.864730273	0.308733072	-6.039943383	1.54E-09	1.81E-07	dab2ipb	DAB2 interacting protein b [Source:ZFIN;Acc:ZDB-GENE-030131-2449]
ENSDARG00000015422	625.0087165	-0.659529425	0.109349412	-6.031394349	1.63E-09	1.90E-07	ppil1	peptidylprolyl isomerase (cyclophilin)-like 1 [Source:ZFIN;Acc:ZDB-GENE-051009-1]
ENSDARG00000033760	1337.638286	-0.530676973	0.089019317	-5.961368722	2.50E-09	2.82E-07	pmelb	premelanosome protein b [Source:ZFIN;Acc:ZDB-GENE-050912-2]
ENSDARG00000002369	5393.820874	-0.70176471	0.117787232	-5.957901369	2.55E-09	2.86E-07	UBB	si:ch211-202a12.4 [Source:ZFIN;Acc:ZDB-GENE-030131-8486]
ENSDARG00000052705	607.7545824	-0.693918634	0.121229223	-5.724021136	1.04E-08	1.06E-06	pkp1b	plakophilin 1b [Source:ZFIN;Acc:ZDB-GENE-030131-417]
ENSDARG00000109647	170.2940504	-1.005420578	0.176475659	-5.697219559	1.22E-08	1.22E-06	snx18a	sorting nexin 18a [Source:ZFIN;Acc:ZDB-GENE-070705-339]
ENSDARG00000045947	4140.126917	-0.380082747	0.067865718	-5.600511683	2.14E-08	2.01E-06	hrc	histidine rich calcium binding protein [Source:ZFIN;Acc:ZDB-GENE-041008-189]
ENSDARG00000012366	2788.926832	-0.71416097	0.127868296	-5.585129324	2.34E-08	2.16E-06	fbp2	"fructose-1,6-bisphosphatase 2 [Source:ZFIN;Acc:ZDB-GENE-040822-23]"
ENSDARG00000019122	106.2332007	-4.703258225	0.842876893	-5.580006122	2.41E-08	2.21E-06	he1.2	"hatching enzyme 1, tandem dupliate 2 [Source:ZFIN;Acc:ZDB-GENE-030131-2100]"
ENSDARG00000098989	415.8637216	-0.717043828	0.128874509	-5.563891818	2.64E-08	2.40E-06	CU459012.1	group 3 secretory phospholipase A2-like [Source:NCBI gene;Acc:101885160]
ENSDARG00000011824	2747.164441	-0.414097073	0.075036012	-5.518644472	3.42E-08	3.08E-06	pbxip1b	pre-B-cell leukemia homeobox interacting protein 1b [Source:ZFIN;Acc:ZDB-GENE-070112-2032]
ENSDARG00000113015	72.86803456	-1.340820229	0.245124818	-5.469948903	4.50E-08	3.98E-06	AL844899.2	serine protease inhibitor 2.1-like [Source:NCBI gene;Acc:110439158]
ENSDARG00000109412	280.7499021	-1.242925904	0.227326364	-5.467583617	4.56E-08	4.01E-06	pfkmb	"phosphofructokinase, muscle b [Source:ZFIN;Acc:ZDB-GENE-081114-1]"
ENSDARG00000035468	72.25389125	-1.797432962	0.330322624	-5.441446723	5.28E-08	4.59E-06	slc25a25b	solute carrier family 25 member 25b [Source:NCBI gene;Acc:569227]
ENSDARG00000098631	2919.614009	-0.332341162	0.061103483	-5.438988818	5.36E-08	4.64E-06	CABZ01044277.1	
ENSDARG00000023656	226.4561476	-4.052512417	0.748289088	-5.415704284	6.10E-08	5.23E-06	he1.1	"hatching enzyme 1, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-021211-3]"
ENSDARG00000109444	758.6586835	-0.56274554	0.104581768	-5.380914377	7.41E-08	6.31E-06	nfkbib	"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta [Source:ZFIN;Acc:ZDB-GENE-070705-529]"
ENSDARG00000089418	4158.125184	-0.378032333	0.070426194	-5.367780252	7.97E-08	6.75E-06	si:dkey-164f24.2	si:dkey-164f24.2 [Source:ZFIN;Acc:ZDB-GENE-030131-7035]
ENSDARG00000035285	2354.056772	-0.513862676	0.095867473	-5.360135841	8.32E-08	6.95E-06	ncor1	nuclear receptor corepressor 1 [Source:ZFIN;Acc:ZDB-GENE-040426-993]
ENSDARG00000020008	3361.421447	-0.381360424	0.071147853	-5.360111451	8.32E-08	6.95E-06	vcp	valosin containing protein [Source:NCBI gene;Acc:327197]
ENSDARG00000116033	3314.821425	-0.415247318	0.077573923	-5.352924083	8.65E-08	7.16E-06	cpe	carboxypeptidase E [Source:ZFIN;Acc:ZDB-GENE-090313-68]
ENSDARG00000060393	185.8690108	-1.201892937	0.225565703	-5.328349664	9.91E-08	8.08E-06	fibcd1	fibrinogen C domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-070424-245]
ENSDARG00000073936	1721.876796	-0.627312993	0.117918308	-5.319894793	1.04E-07	8.36E-06	BX511021.1	"ferritin, middle subunit-like [Source:NCBI gene;Acc:100006428]"
ENSDARG00000076848	134.2259982	-1.043315042	0.199073058	-5.240865095	1.60E-07	1.26E-05	zgc:112492	zgc:112492 [Source:ZFIN;Acc:ZDB-GENE-050417-143]
ENSDARG00000016088	1285.910421	-0.512210849	0.097733643	-5.240885672	1.60E-07	1.26E-05	rtn2a	reticulon 2a [Source:ZFIN;Acc:ZDB-GENE-060420-1]
ENSDARG00000090369	7431.702636	-0.572655943	0.109452349	-5.232011448	1.68E-07	1.32E-05	zgc:86896	zgc:86896 [Source:ZFIN;Acc:ZDB-GENE-040625-80]
ENSDARG00000110544	396.6092071	-0.809517853	0.155342929	-5.211166424	1.88E-07	1.46E-05	akap12b	A kinase (PRKA) anchor protein 12b [Source:ZFIN;Acc:ZDB-GENE-030131-9753]
ENSDARG00000012076	20871.37707	-0.461425159	0.088887401	-5.191119937	2.09E-07	1.60E-05	apoa1a	apolipoprotein A-Ia [Source:NCBI gene;Acc:30355]
ENSDARG00000007480	11216.78059	-0.47271401	0.091300882	-5.177540463	2.25E-07	1.71E-05	rpe65a	retinoid isomerohydrolase RPE65 a [Source:NCBI gene;Acc:393724]
ENSDARG00000037278	277.8491091	-0.708408519	0.136971134	-5.171954856	2.32E-07	1.75E-05	lrata	lecithin retinol acyltransferase a [Source:ZFIN;Acc:ZDB-GENE-060720-1]
ENSDARG00000011615	4237.642943	-0.387126917	0.075101417	-5.154721901	2.54E-07	1.90E-05	mybpc3	"myosin binding protein C, cardiac [Source:ZFIN;Acc:ZDB-GENE-070112-2362]"
ENSDARG00000055723	1460.232495	-0.507851304	0.098872852	-5.136407958	2.80E-07	2.08E-05	hsp70l	"heat shock cognate 70-kd protein, like [Source:ZFIN;Acc:ZDB-GENE-050321-1]"
ENSDARG00000056210	314.5061247	-1.167120947	0.228444974	-5.108980624	3.24E-07	2.34E-05	hspa1b	heat shock protein family A (Hsp70) member 1B [Source:ZFIN;Acc:ZDB-GENE-060503-867]
ENSDARG00000022631	432.473158	-1.002130488	0.196313297	-5.104750954	3.31E-07	2.39E-05	cyp2p9	"cytochrome P450, family 2, subfamily P, polypeptide 9 [Source:ZFIN;Acc:ZDB-GENE-040120-2]"
ENSDARG00000111829	86.94233363	-1.222637904	0.240634277	-5.080896692	3.76E-07	2.67E-05	htra1a	HtrA serine peptidase 1a [Source:NCBI gene;Acc:431766]
ENSDARG00000114888	222.0694547	-0.789164195	0.155731008	-5.067482725	4.03E-07	2.86E-05	svila	supervillin a [Source:ZFIN;Acc:ZDB-GENE-990706-5]
ENSDARG00000041339	3128.799905	-0.467294763	0.09245626	-5.054225221	4.32E-07	3.06E-05	zgc:92380	zgc:92380 [Source:ZFIN;Acc:ZDB-GENE-040801-221]
ENSDARG00000110002	221.3259386	-0.793016491	0.157322091	-5.040719229	4.64E-07	3.25E-05	svila	supervillin a [Source:ZFIN;Acc:ZDB-GENE-990706-5]
ENSDARG00000061383	1989.761362	-0.436189497	0.087323474	-4.995100166	5.88E-07	4.07E-05	serpinf2b	"serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2b [Source:ZFIN;Acc:ZDB-GENE-061215-114]"
ENSDARG00000040290	828.5974198	-0.401233063	0.081072099	-4.949089393	7.46E-07	5.03E-05	pon3.2	"paraoxonase 3, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-071004-70]"
ENSDARG00000089297	104.1023719	-1.194460408	0.241437686	-4.947282371	7.53E-07	5.05E-05	si:dkeyp-115d7.2	si:dkeyp-115d7.2 [Source:ZFIN;Acc:ZDB-GENE-141215-15]
ENSDARG00000035256	8759.170656	-0.423557737	0.086655028	-4.887861083	1.02E-06	6.67E-05	eef2l2	"eukaryotic translation elongation factor 2, like 2 [Source:ZFIN;Acc:ZDB-GENE-030131-8112]"
ENSDARG00000002988	4962.188287	-0.281155493	0.05793383	-4.853045185	1.22E-06	7.86E-05	tnnt2d	"troponin T2d, cardiac [Source:ZFIN;Acc:ZDB-GENE-050626-97]"
ENSDARG00000071558	1009.238102	-0.480212812	0.099466677	-4.827876284	1.38E-06	8.75E-05	fblim1	filamin binding LIM protein 1 [Source:ZFIN;Acc:ZDB-GENE-061013-662]
ENSDARG00000096242	448.409625	-0.922105755	0.193625516	-4.762315302	1.91E-06	0.000118158	si:ch211-76l23.4	si:ch211-76l23.4 [Source:ZFIN;Acc:ZDB-GENE-030131-8310]
ENSDARG00000077967	4053.387885	-0.385735509	0.081051727	-4.759127576	1.94E-06	0.000119477	si:ch211-140m22.7	si:ch211-140m22.7 [Source:ZFIN;Acc:ZDB-GENE-070912-73]
ENSDARG00000069823	296.2481143	-0.568359431	0.12034082	-4.722914722	2.32E-06	0.000139594	proca1	protein interacting with cyclin A1 [Source:ZFIN;Acc:ZDB-GENE-110418-1]
ENSDARG00000109932	31.81894789	-2.190613554	0.465252401	-4.708441156	2.50E-06	0.00014852	glmnb	"glomulin, FKBP associated protein b [Source:ZFIN;Acc:ZDB-GENE-080723-14]"
ENSDARG00000103826	3463.310649	-0.433576999	0.092242065	-4.700425997	2.60E-06	0.000154121	gpib	glucose-6-phosphate isomerase b [Source:ZFIN;Acc:ZDB-GENE-020513-3]
ENSDARG00000045089	1238.798207	-0.757056421	0.161233686	-4.695398587	2.66E-06	0.000157249	si:ch211-270n8.1	si:ch211-270n8.1 [Source:ZFIN;Acc:ZDB-GENE-081107-34]
ENSDARG00000060797	350.7819174	-0.68629024	0.146711412	-4.677824514	2.90E-06	0.000170192	pfkmb	"phosphofructokinase, muscle b [Source:ZFIN;Acc:ZDB-GENE-081114-1]"
ENSDARG00000052787	218.635216	-0.768314134	0.164576388	-4.668434788	3.04E-06	0.000176969	zdhhc12b	zinc finger DHHC-type containing 12b [Source:ZFIN;Acc:ZDB-GENE-070705-356]
ENSDARG00000097877	1636.947245	-0.562288601	0.121462789	-4.62930751	3.67E-06	0.000210193	si:ch211-167b20.8	si:ch211-167b20.8 [Source:ZFIN;Acc:ZDB-GENE-081104-147]
ENSDARG00000103498	8257.998041	-0.241717327	0.052223238	-4.62853966	3.68E-06	0.000210514	epd	ependymin [Source:NCBI gene;Acc:30199]
ENSDARG00000011672	709.1605442	-0.397397334	0.086033514	-4.619099201	3.85E-06	0.000219366	sema3b	"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B [Source:ZFIN;Acc:ZDB-GENE-081105-78]"
ENSDARG00000110534	80.77593289	-1.711246138	0.372952345	-4.588377474	4.47E-06	0.000250987	npr3	natriuretic peptide receptor 3 [Source:ZFIN;Acc:ZDB-GENE-060531-91]
ENSDARG00000068974	799.8095952	-0.519614712	0.113488734	-4.578557671	4.68E-06	0.000261939	lim2.1	lens intrinsic membrane protein 2.1 [Source:ZFIN;Acc:ZDB-GENE-050522-398]
ENSDARG00000116711	505.320903	-0.724697726	0.158767749	-4.564514702	5.01E-06	0.000278908	si:ch211-212k18.5	si:ch211-212k18.5 [Source:ZFIN;Acc:ZDB-GENE-030131-379]
ENSDARG00000077180	1849.385376	-0.446406578	0.097840028	-4.562617045	5.05E-06	0.000280252	slc37a4b	solute carrier family 37 member 4b [Source:ZFIN;Acc:ZDB-GENE-040426-827]
ENSDARG00000100780	104.6649627	-0.954699862	0.209344963	-4.560414775	5.11E-06	0.000282015	slco1e1	"solute carrier organic anion transporter family, member 1E1 [Source:ZFIN;Acc:ZDB-GENE-100818-2]"
ENSDARG00000021948	3466.299432	-0.301723397	0.066277364	-4.55243507	5.30E-06	0.000290483	tnc	tenascin C [Source:ZFIN;Acc:ZDB-GENE-980526-104]
ENSDARG00000113311	427.0479855	-1.150203916	0.253059666	-4.545188624	5.49E-06	0.000300032	kansl2	KAT8 regulatory NSL complex subunit 2 [Source:ZFIN;Acc:ZDB-GENE-041010-67]
ENSDARG00000101481	2769.754483	-0.304090964	0.066923177	-4.543881199	5.52E-06	0.000301273	rbp5	"retinol binding protein 1a, cellular [Source:ZFIN;Acc:ZDB-GENE-020320-1]"
ENSDARG00000112650	1570.967945	-0.49078759	0.108169091	-4.537225778	5.70E-06	0.00031029	idh1	isocitrate dehydrogenase (NADP(+)) 1 [Source:ZFIN;Acc:ZDB-GENE-031006-1]
ENSDARG00000042982	692.915125	-0.684395338	0.151060093	-4.530616407	5.88E-06	0.000319381	cyp2p8	"cytochrome P450, family 2, subfamily P, polypeptide 8 [Source:ZFIN;Acc:ZDB-GENE-061030-1]"
ENSDARG00000112658	1112.294979	-0.813680605	0.179706858	-4.527821665	5.96E-06	0.00032109	eif4g2b	"eukaryotic translation initiation factor 4, gamma 2b [Source:ZFIN;Acc:ZDB-GENE-030131-6550]"
ENSDARG00000016477	3072.745494	-0.403921161	0.08938223	-4.519032041	6.21E-06	0.000333343	eif4a2	"eukaryotic translation initiation factor 4A, isoform 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2802]"
ENSDARG00000109237	5.839204121	-5.997099497	1.328172521	-4.515301591	6.32E-06	0.000338573	cbln12	cerebellin 12 [Source:ZFIN;Acc:ZDB-GENE-070912-11]
ENSDARG00000115805	836.6795211	-0.365427117	0.081161651	-4.502460347	6.72E-06	0.000358233	GGT7	gamma-glutamyltransferase 7 [Source:NCBI gene;Acc:101882295]
ENSDARG00000099672	2133.071385	-0.461315898	0.102469127	-4.501998925	6.73E-06	0.000358284	capgb	"capping protein (actin filament), gelsolin-like b [Source:ZFIN;Acc:ZDB-GENE-030131-8541]"
ENSDARG00000105039	418.9118019	-0.950346455	0.211528168	-4.492765502	7.03E-06	0.000371918	phka1b	"phosphorylase kinase, alpha 1b (muscle) [Source:ZFIN;Acc:ZDB-GENE-091204-81]"
ENSDARG00000020482	2481.877275	-0.25230706	0.056326645	-4.479355341	7.49E-06	0.000393684	nono	"non-POU domain containing, octamer-binding [Source:ZFIN;Acc:ZDB-GENE-030131-713]"
ENSDARG00000093313	4257.497599	-0.304843901	0.068311331	-4.462567166	8.10E-06	0.000421612	ubb	ubiquitin B [Source:ZFIN;Acc:ZDB-GENE-050411-10]
ENSDARG00000035521	537.4021346	-0.524795553	0.118087683	-4.444117611	8.83E-06	0.000455842	sfrp1a	secreted frizzled-related protein 1a [Source:ZFIN;Acc:ZDB-GENE-040310-5]
ENSDARG00000058366	1171.167337	-0.440255756	0.099074704	-4.443674719	8.84E-06	0.000455885	si:dkey-222f8.3	si:dkey-222f8.3 [Source:ZFIN;Acc:ZDB-GENE-030131-3658]
ENSDARG00000079585	215.6011765	-1.068462629	0.240689031	-4.439182883	9.03E-06	0.000461873	pkn3	protein kinase N3 [Source:ZFIN;Acc:ZDB-GENE-030131-1902]
ENSDARG00000015905	557.0920786	-0.477895585	0.107746074	-4.435387467	9.19E-06	0.000467353	lztr1	leucine-zipper-like transcription regulator 1 [Source:ZFIN;Acc:ZDB-GENE-030131-9564]
ENSDARG00000005320	295.8049452	-0.549503164	0.124207904	-4.424059556	9.69E-06	0.00048971	nipsnap1	nipsnap homolog 1 (C. elegans) [Source:NCBI gene;Acc:30231]
ENSDARG00000037266	623.4933252	-0.418115281	0.094656736	-4.417174081	1.00E-05	0.000502661	myoz2b	myozenin 2b [Source:ZFIN;Acc:ZDB-GENE-040426-1853]
ENSDARG00000009196	48.01718774	-1.474651176	0.334521172	-4.408244673	1.04E-05	0.000521835	anxa3a	annexin A3a [Source:ZFIN;Acc:ZDB-GENE-040912-58]
ENSDARG00000029688	629.0106302	-0.521220821	0.118343692	-4.404297462	1.06E-05	0.00052902	hsp70.1	"heat shock cognate 70-kd protein, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-990415-91]"
ENSDARG00000058032	510.4681423	-0.408255027	0.092786612	-4.399934623	1.08E-05	0.000536085	tpk2	thiamin pyrophosphokinase 2 [Source:ZFIN;Acc:ZDB-GENE-060503-173]
ENSDARG00000006008	5424.37246	-0.404830518	0.093210272	-4.343196394	1.40E-05	0.000687425	dct	dopachrome tautomerase [Source:ZFIN;Acc:ZDB-GENE-000508-1]
